,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
178685,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.52,100000000.0,0.22752918758528218,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178712,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,100000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178713,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,100000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178800,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.614,7000000.0,0.22329933301499175,"(-0.0721, 0.721]",0.942294990388423,"(6600004.85, 8800004.8]"
178805,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.615,50000000.0,0.2232543345621163,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
178810,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,FC,0.614,7000000.0,0.22329933301499175,"(-0.0721, 0.721]",0.942294990388423,"(6600004.85, 8800004.8]"
178811,CORRECT,Credit:Index:CDX:CDXIG,Trade,C,FC,0.614,7000000.0,0.22329933301499175,"(-0.0721, 0.721]",0.942294990388423,"(6600004.85, 8800004.8]"
178843,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.615,50000000.0,0.2232543345621163,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
178853,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.615,75000000.0,0.2232543345621163,"(-0.0721, 0.721]",0.2685982386141697,"(74800003.3, 77000003.25]"
178858,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.615,75000000.0,0.2232543345621163,"(-0.0721, 0.721]",0.2685982386141697,"(74800003.3, 77000003.25]"
